gid,id_no,name,name_other,components,part_of,rec_type,rec_note,country,state_prov,latitude,longitude,loc_note,dep_type,dep_note,dep_form,commods,hree_note,lree_note,ree_ratio,ree,status,stat_note,ree_mins,sig_mins,oth_mins,age_mzn,age_ma,host_age,hage_ma,host_lith,host_unit,assoc_rock,alteration,company,comments,ref_list,discov_yr,expl_note,mine_meth,p_status,pstat_note,p_years,p_refs,p_note,rr_ore_mt,rr_treo_mt,rr_treogrd,rr_ree_grd,rr_cutoff,rr_hm_mt,rr_hm_pct,rr_min_mt,rr_min_pct,rr_mon_mt,rr_mon_pct,rr_oth_grd,rr_yr_est,rr_refs,rr_regcode,rr_note,region,geom
1,4190.00000000,Abenab,,,,intrusion or complex,,Namibia,Otjozondjupa,-19.2643000000,18.1000000000,,carbonatite with residual enrichment,,,"V, Pb, Zn, Cu, REE",,,,0.64-2.22% TREE,Occurrence(?),,,,clay,,,,,"carbonatite, clay",,,,AVZ Minerals Ltd.,"Vanadium mineralization in quartz-dolomite and sandstone-limestone breccias is present in the area, including the historic Abenab mine.",Avonlea Minerals Ltd. (2011); SNL Metals & Mining (2015),,,underground,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000A0999999991932402055302AA94333C0
2,4050.00000000,Abu Khruq,Gabal Abu Khruq,,,intrusion or complex,,Egypt,Al Bahr al Ahmar,24.6486000000,34.2713000000,Estimated location.,alkaline igneous,,,"Nb, Ta, Zr, Hf, Be, REE, U, Th",,,,,Occurrence,,"parisite, bastnäsite","ilmenite, apatite, zircon, pyrochlore, fluorite, Nb-bearing rutile","nepheline, cancrinite, calcite, analcime, natrolite, sodalite",Cenozoic(?),,Cenozoic(?),,moderately to strongly hematized nepheline syenite,,Cretaceous Nubian Sandstone,"hydrothermal, hematization, albitization, cancrinitization, carbonatization",,REE mineralization restricted to hematized nepheline syenite; grade is highest in the moderately hematized rock followed by the strongly hematized syenite.,Abdalla (2006); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000D8B359F5B9224140902F4CA60AA63840
3,4052.00000000,Abu Tartar,"Abu Tartour, Abu Tartor, Abu Tartur",,,site,active P mine,Egypt,Al Wadi al Jadid,25.4069000000,30.0667000000,,phosphorite,,,"P, REE",,,8.4,519–1139 ppm (ave. 879),Occurrence,,,"carbonate-rich fluorapatite, carbonate-rich apatite (collophane), wavellite, pyrite, marcasite, Mn-bearing apatite","calcite, dolomite, quartz, gypsum, glauconite, montmorillonite, kaolinite, ankerite, Fe-oxides",Upper Cretaceous: Campanian–Maastrichtian,,Upper Cretaceous: Campanian–Maastrichtian,,"phosphorite, mudstone, sandstone",Duwi Formation,,,,This is the largest phosphate mine in Egypt; REE is potential byproduct.,Ahmed (2003); Awadalla (2010); British Sulphur Corp. Ltd. (1987); de Kun (1987); Hussein and El Sharkawi (1990); Industrial Minerals (1995); Schröter (1989),,,underground— long-wall retreating technique; surface mine,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000B0A44E4013113E4020BE30992A683940
4,4126.00000000,Adiounedj,,,,intrusion or complex,,Mali,Kidal,20.1830000000,0.0670000000000,,carbonatite,,,REE,,,,,Occurrence,,synchysite,"fluorite, titanite, apatite, barite, pyrochlore","quartz, calcite, Fe-oxides, cancrinite, sodalite, aegirine-augite, calcite",Permian(?),,,,"fenite, rodbergite, syenite, carbonatite",,,,,"Hydrothermal synchysite found in fluorite, calcite, and quartz.",Liégeois and others (1991); Sauvage and Savard (1985); Wall and Mariano (1996); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E61000000010D578E926B13F102B8716D92E3440
5,4191.00000000,Agate Mountain,,,,intrusion or complex,,Namibia,Kunene,-18.4507000000,12.0809000000,Estimated location.,carbonatite,,,"REE, Mn",,,,,Occurrence,,bastnäsite,fluorite,,Post–Lower Cretaceous,,,,"beforsitic carbonatite, breccia, fenite",,,,,Carbonatite contains irregular patches of bastnäsite.,McManus and Schneider (1994); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000407E8CB96B292840904E4013617332C0
6,4135.00000000,Aghracha,,"includes Awhifrite, Lacharyit sectors",,intrusion or complex,,Morocco,Oued ed Dahab-Lagouira,23.1913000000,-14.7322000000,This part of Morocco is in dispute with Western Sahara.,carbonatite,carbonatite dikes and epidotized pegmatites,,"U, Th, REE",,,,,Showing,,monazite,carnotite,,,,,,magnetite carbonatite,,orthogneiss,,,Occurrence is associated with uraniferous calcrete in the Aghracha paleochannel and some alluvial placers with U and REE.,Morocco ONHYM (2015a),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E610000020431CEBE2762DC0A0B96B09F9303740
7,4034.00000000,Akongo,,,,intrusion or complex,,Cameroon,Centre,3.60000000000,11.7000000000,,alkaline igneous with residual enrichment; supergene,,laterite,REE,,,,,Occurrence,,"florencite, rhabdophane, zircon, titanite, allanite, apatite, cerianite-(Ce)","hematite, magnetite","kaolinite, halloysite, goethite, microcline",,,,,"laterite, saprolite, ferricrete",,Neoproterozoic alkaline syenite,,,Laterite developed over syenite; allanite is main REE mineral in source syenite along with apatite and titanite; allanite and other primary REE minerals tend to be partially preserved only in lower parts of weathering profile; florencite and rhabdophane,Braun and others (1990); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000806666666666274000CDCCCCCCCC0C40
8,4136.00000000,Al Farnan,Gleyb Al Farnan,,,intrusion or complex,,Morocco,Oued ed Dahab-Lagouira,22.2067000000,-14.8457000000,This part of Morocco is in dispute with Western Sahara.,carbonatite,,,"Nb, REE, Ta, U",,,,,Occurrence,,,iron oxide,,,,,,"dolomitic carbonatite, iron oxide breccia",,Proterozoic gneiss,,,Related to Glibat Lafhouda carbonatite mineralization.,"Morocco ONHYM (2011, 2015b)",,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E610000040742497FFB02DC060158C4AEA343640
9,4144.00000000,Alto Ligonha,,"includes Boa Esperanca, Enluma I, Guilherme, Jlodo, Marropino, Morrua, others",,district or area,pegmatite field,Mozambique,Zambézia,-15.7500000000,38.1670000000,Estimated location.,other igneous deposit,pegmatite,pegmatite,"Ta, Nb, GEM, Be, Li, REE, U, Th",,,,~1.7% monazite in HM,Deposit,,"euxenite-(Y), monazite, fergusonite, samarskite, polycrase-(Y), pyrochlore, xenotime, rhabdophane","columbite, tantalite, pollucite, tourmaline, beryl (aquamarine), garnet, beryl, ilmenite, microlite","quartz, feldspar, kaolinite, mica",,440-480 Ma (U-Pb),,,,,,,,There are at least 2 generations of pegmatites in this district in 12 pegmatite fields.,Cílek (1989); Eberle and others (2012); Melcher and others (2015); Coakley and others (1991),,,,Past producer,,,,Past production of euxenite-(Y) and monazite concentrates.,,,,,,,,,,,,,,,,,Africa,0101000020E61000005037894160154340E0FFFFFFFF7F2FC0
10,4086.00000000,Ambaliha,,,TRE project,site,,Madagascar,Antsiranana,-13.7682000000,48.1716000000,,alkaline igneous with residual enrichment(?),"argillaceous laterite, ion adsorption",,"REE, Ta, Nb, Zr",,,,,Occurrence,,"synchysite-(Ce), parisite-(Ce), monazite, gagarinite, pyrochlore, bastnäsite, xenotime","pyrochlore, zircon, columbite, baddeleyite, fluorite, microlite",,Oligocene–Miocene,,Oligocene–Miocene,23-24 Ma,"weathered eudialyte granite, granite, skarn",Ambohimirahavavy alkaline complex,,,Tantalus Rare Earths AG (TRE),,Estrade and others (2014); Gilbertson and others (2011); Pittuck (2013),,"10,000 m of planned diamond drilling initiated by TRE in 2010.",,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E610000038FF21FDF61548400093A98251892BC0
